,ReadId,TileName,TileLength,TilePosition,AlignmentLength,Start,Stop,AlignmentScore,Distance,Suspicious
25946,42,EL188-CBD,351,3,366,214,580,1401,-19,0
25947,42,Vpept,438,4,456,561,1017,894,0,0
25968,48,Sarcotoxin,129,1,139,769,908,137,-798,1
25969,48,Flexibleshort,30,2,27,110,137,104,-13,0
25970,48,OBPgp279-CBD,396,3,437,124,561,769,-42,0
25971,48,PVP-SE1gp146-EAD,561,4,616,519,1135,1475,0,0
26104,82,CecropinAA,120,1,111,378,489,120,-372,1
26105,82,Flexibleshort,30,2,31,117,148,124,-5,0
26106,82,201j2-1gp229-CBD,267,3,271,143,414,1019,-13,0
26107,82,KZ144-EAD,543,4,557,401,958,1990,0,0
26120,86,Piscidin,78,1,97,43,140,166,-67,1
26121,86,Flexibleshort,30,2,13,73,86,52,80,1
26122,86,201j2-1gp229-CBD,267,3,292,166,458,599,-20,0
26123,86,Phage003,423,4,462,438,900,796,0,0
26420,161,IR2,54,1,43,105,148,180,113,1
26421,161,Flexiblemedian,54,2,54,261,315,97,-140,1
26422,161,EL188-CBD,351,3,359,175,534,930,-43,0
26423,161,BcepC6Bgp22,507,4,511,491,1002,1230,0,0
26460,171,CecropinAA,120,1,131,402,533,135,-418,1
26461,171,Flexiblemedian,54,2,57,115,172,187,-7,0
26462,171,201j2-1gp229-CBD,267,3,272,165,437,1130,-11,0
26463,171,KZ144-EAD,543,4,558,426,984,1915,0,0
26888,278,LL-37,123,1,123,688,811,111,-669,1
26889,278,Flexiblemedian,54,2,54,142,196,159,-9,0
26890,278,201j2-1gp229-CBD,267,3,289,187,476,843,-19,0
26891,278,Vpept,438,4,457,457,914,803,0,0
26896,280,Sushi,114,1,124,547,671,115,-548,1
26897,280,Flexiblemedian,54,2,54,123,177,204,-10,0
26898,280,201j2-1gp229-CBD,267,3,271,167,438,998,-12,0
26899,280,LysAci7,591,4,607,426,1033,1286,0,0
26920,286,Piscidin,78,1,76,794,870,130,-729,1
26921,286,Flexiblemedian,54,2,54,141,195,149,-6,0
26922,286,201j2-1gp229-CBD,267,3,290,189,479,661,-22,0
26923,286,KZgp181,501,4,494,457,951,1204,0,0
26944,292,3IQ2,81,1,71,560,631,132,-346,1
26945,292,Flexiblemedian,54,2,33,285,318,44,366,1
26946,292,K11gp3.5,465,3,556,684,1240,341,-740,1
26947,292,KZ144-EAD,543,4,501,500,1001,354,0,0
26956,295,Pleurocidin,87,1,83,58,141,286,99,1
26957,295,Flexibleshort,30,2,29,240,269,78,-106,1
26958,295,EL188-CBD,351,3,359,163,522,1072,-22,0
26959,295,Phage003,423,4,434,500,934,1067,0,0
27024,312,Sushi,114,1,119,757,876,116,-767,1
27025,312,Flexibleshort,30,2,31,109,140,111,-7,0
27026,312,KZ144-CBD,258,3,303,133,436,723,-17,0
27027,312,XccBg35,579,4,605,419,1024,1778,0,0
27092,329,IR2,54,1,53,69,122,252,81,1
27093,329,Flexiblemedian,54,2,58,203,261,184,-8,0
27094,329,KZ144-CBD,258,3,274,253,527,809,-24,0
27095,329,LysAci7,591,4,621,503,1124,1330,0,0
27132,339,Chrysophsin,87,1,86,104,190,120,63,1
27133,339,Flexibleshort,30,2,21,253,274,52,-44,0
27134,339,KZ144-CBD,258,3,271,230,501,677,-27,0
27135,339,OBPgp276,540,4,550,474,1024,1886,0,0
27196,355,IR2,54,1,54,42,96,195,68,1
27197,355,Flexiblemedian,54,2,56,164,220,173,-4,0
27198,355,PVP-SE1gp146-CBD,267,3,284,216,500,879,-24,0
27199,355,KZ144-EAD,543,4,594,476,1070,1913,0,0
27200,356,Melittin,90,1,95,70,165,100,505,1
27201,356,Flexibleshort,30,2,14,670,684,52,-635,1
27202,356,EL188-CBD,351,3,362,49,411,680,-68,1
27203,356,KZgp181,501,4,517,343,860,793,0,0
27212,359,CecropinAD,132,1,134,913,1047,112,-916,1
27213,359,Flexiblemedian,54,2,60,131,191,153,4,0
27214,359,EL188-CBD,351,3,410,195,605,920,-30,0
27215,359,P2gp09,510,4,509,575,1084,1957,0,0
27244,367,Ranalexin,66,1,66,85,151,273,78,1
27245,367,Flexiblemedian,54,2,54,229,283,226,-8,0
27246,367,201j2-1gp229-CBD,267,3,277,275,552,1134,-14,0
27247,367,KZgp181,501,4,514,538,1052,2092,0,0
27440,416,Melittin,90,1,92,129,221,341,-217,1
27441,416,Flexiblemedian,54,2,56,4,60,88,180,1
27442,416,K11gp3.5,465,3,482,240,722,1887,-21,0
27443,416,Vpept,438,4,454,701,1155,962,0,0
27472,424,NRC-13,81,1,85,30,115,280,66,1
27473,424,Flexiblemedian,54,2,54,181,235,257,-6,0
27474,424,KZ144-CBD,258,3,261,229,490,1076,-14,0
27475,424,Vpept,438,4,452,476,928,927,0,0
27476,425,Sushi,114,1,125,47,172,108,-105,1
27477,425,Flexiblemedian,54,2,53,67,120,131,-12,0
27478,425,EL188-CBD,351,3,360,108,468,1137,-32,0
27479,425,OBPgp279-EAD,615,4,632,436,1068,2261,0,0
27536,440,CecropinAD,132,1,136,359,495,138,-346,1
27537,440,Flexibleshort,30,2,29,149,178,114,-8,0
27538,440,201j2-1gp229-CBD,267,3,295,170,465,835,-20,0
27539,440,KZ144-EAD,543,4,556,445,1001,1609,0,0
27572,449,Pseudin,84,1,86,44,130,320,65,1
27573,449,Flexiblemedian,54,2,56,195,251,192,-10,0
27574,449,PVP-SE1gp146-CBD,267,3,277,241,518,1108,-18,0
27575,449,KMVgp36C,498,4,507,500,1007,2009,0,0
27584,452,Magainin,81,1,86,60,146,316,416,1
27585,452,Flexibleshort,30,2,18,562,580,41,-411,1
27586,452,KZ144-CBD,258,3,264,169,433,843,3,0
27587,452,CR8gp3.5,465,4,472,436,908,1700,0,0
27592,454,3IQ2,81,1,73,854,927,228,-60,1
27593,454,Flexibleshort,30,2,28,867,895,64,-607,1
27594,454,K11gp3.5,465,3,477,288,765,234,-595,1
27595,454,Phage2b.1bg019,573,4,634,170,804,275,0,0
27664,472,Magainin,81,1,62,743,805,128,-568,1
27665,472,Flexibleshort,30,2,21,237,258,48,-71,1
27666,472,OBPgp279-CBD,396,3,383,187,570,194,-375,1
27667,472,XccBg35,579,4,530,195,725,246,0,0
27708,483,SMAP29,99,1,99,113,212,117,-102,1
27709,483,Flexiblemedian,54,2,55,110,165,114,-7,0
27710,483,EL188-CBD,351,3,382,158,540,960,-37,0
27711,483,LUZ24gp67,405,4,423,503,926,1281,0,0
27776,5,IR2,54,1,55,111,166,249,-95,1
27777,5,Flexiblemedian,54,2,39,71,110,78,72,1
27778,5,EL188-CBD,351,3,366,182,548,1370,-18,0
27779,5,KZ144-EAD,543,4,569,530,1099,2125,0,0
27836,20,CecropinAD,132,1,109,163,272,105,-156,1
27837,20,Flexiblemedian,54,2,37,116,153,62,140,1
27838,20,PVP-SE1gp146-CBD,267,3,271,293,564,601,-27,0
27839,20,LUZ24gp67,405,4,432,537,969,1640,0,0
27848,23,CecropinAD,132,1,135,65,200,462,710,1
27849,23,Flexiblemedian,54,2,44,910,954,87,-726,1
27850,23,201j2-1gp229-CBD,267,3,269,228,497,1051,-24,0
27851,23,BcepC6Bgp22,507,4,558,473,1031,1583,0,0
27888,33,Melittin,90,1,75,62,137,132,138,1
27889,33,Flexiblemedian,54,2,39,275,314,79,-130,1
27890,33,PVP-SE1gp146-CBD,267,3,287,184,471,573,-29,0
27891,33,BcepC6Bgp22,507,4,506,442,948,1682,0,0
27896,35,Myxinidin,48,1,42,39,81,179,350,1
27897,35,Flexiblemedian,54,2,50,431,481,81,-346,1
27898,35,KZ144-CBD,258,3,260,135,395,946,-15,0
27899,35,BcepC6Bgp16,423,4,453,380,833,1301,0,0
28004,62,Sarcotoxin,129,1,109,660,769,111,-501,1
28005,62,Flexiblemedian,54,2,12,268,280,42,-261,1
28006,62,PVP-SE1gp146-CBD,267,3,271,19,290,556,-30,0
28007,62,BcepC6Bgp22,507,4,542,260,802,1075,0,0
28080,81,CEM1,48,1,51,866,917,106,-67,1
28081,81,Flexibleshort,30,2,13,850,863,43,-483,1
28082,81,KZ144-CBD,258,3,270,380,650,309,-46,0
28083,81,OBPgp276,540,4,565,604,1169,709,0,0
28156,100,Fowlicidin-2,105,1,108,81,189,276,64,1
28157,100,Flexiblemedian,54,2,53,253,306,243,-8,0
28158,100,PVP-SE1gp146-CBD,267,3,277,298,575,1008,-10,0
28159,100,PsP3gp10,507,4,512,565,1077,1894,0,0
28216,115,Sarcotoxin,129,1,127,37,164,515,79,1
28217,115,Flexiblemedian,54,2,54,243,297,194,-6,0
28218,115,KZ144-CBD,258,3,267,291,558,1057,-15,0
28219,115,CR8gp3.5,465,4,483,543,1026,1491,0,0
28220,116,Piscidin,78,1,81,78,159,133,355,1
28221,116,Flexibleshort,30,2,16,514,530,40,-345,1
28222,116,OBPgp279-CBD,396,3,420,185,605,574,-21,0
28223,116,CR8gp3.5,465,4,522,584,1106,981,0,0
28336,145,CecropinAD,132,1,105,666,771,117,-653,1
28337,145,Flexibleshort,30,2,30,118,148,119,-8,0
28338,145,EL188-CBD,351,3,355,140,495,1392,6,0
28339,145,XccBg35,579,4,605,501,1106,2179,0,0
28424,167,Sarcotoxin,129,1,131,305,436,113,-427,1
28425,167,Flexibleshort,30,2,34,9,43,41,108,1
28426,167,201j2-1gp229-CBD,267,3,307,151,458,425,-15,0
28427,167,Phage003,423,4,467,443,910,908,0,0
28436,170,Sushi,114,1,106,25,131,120,741,1
28437,170,Flexiblemedian,54,2,64,872,936,67,-758,1
28438,170,EL188-CBD,351,3,391,178,569,760,-25,0
28439,170,CR8gp3.5,465,4,518,544,1062,1187,0,0
28476,180,Cathelicidin,102,1,105,489,594,122,-359,1
28477,180,Flexibleshort,30,2,28,235,263,47,-146,1
28478,180,K11gp3.5,465,3,356,117,473,200,-434,1
28479,180,KZ144-EAD,543,4,585,39,624,271,0,0
28556,200,Sushi,114,1,107,238,345,113,-208,1
28557,200,Flexiblemedian,54,2,61,137,198,226,-6,0
28558,200,EL188-CBD,351,3,375,192,567,1105,-31,0
28559,200,OBPgp276,540,4,392,536,928,869,0,0
28636,220,NRC-16,69,1,65,28,93,263,401,1
28637,220,Flexibleshort,30,2,33,494,527,54,-394,1
28638,220,OBPgp279-CBD,396,3,466,133,599,500,-32,0
28639,220,Vpept,438,4,482,567,1049,588,0,0
28760,251,Cathelicidin,102,1,105,175,280,117,-224,1
28761,251,Flexiblemedian,54,2,54,56,110,66,22,0
28762,251,K11gp3.5,465,3,513,132,645,234,-456,1
28763,251,OBPgp279-EAD,615,4,595,189,784,371,0,0
28832,269,Pleurocidin,87,1,94,76,170,316,694,1
28833,269,Flexiblemedian,54,2,61,864,925,102,-723,1
28834,269,KZ144-CBD,258,3,268,202,470,757,-9,0
28835,269,BcepC6Bgp22,507,4,530,461,991,1832,0,0
28960,301,CecropinAD,132,1,144,5,149,143,-105,1
28961,301,Flexiblemedian,54,2,50,44,94,174,-6,0
28962,301,PVP-SE1gp146-CBD,267,3,280,88,368,1088,-14,0
28963,301,BcepC6Bgp22,507,4,524,354,878,1863,0,0
28968,303,E7K_I9K_IsCT,51,1,57,70,127,121,560,1
28969,303,Flexibleshort,30,2,25,687,712,45,-546,1
28970,303,OBPgp279-CBD,396,3,429,166,595,729,-16,0
28971,303,LUZ24gp67,405,4,455,579,1034,811,0,0
29008,313,CecropinAD,132,1,122,343,465,132,303,1
29009,313,Flexibleshort,30,2,15,768,783,53,-700,1
29010,313,K11gp3.5,465,3,499,83,582,228,-351,1
29011,313,P2gp09,510,4,547,231,778,326,0,0
29040,321,TB_KKG6A,57,1,62,83,145,231,73,1
29041,321,Flexiblemedian,54,2,64,218,282,179,-7,0
29042,321,EL188-CBD,351,3,371,275,646,1280,-508,1
29043,321,BcepC6Bgp16,423,4,448,138,586,319,0,0
29172,354,Sarcotoxin,129,1,138,326,464,105,-345,1
29173,354,Flexiblemedian,54,2,58,119,177,170,-6,0
29174,354,KZ144-CBD,258,3,276,171,447,614,-23,0
29175,354,P2gp09,510,4,536,424,960,1364,0,0
29228,368,Sarcotoxin,129,1,134,54,188,449,75,1
29229,368,Flexiblemedian,54,2,59,263,322,220,-6,0
29230,368,PVP-SE1gp146-CBD,267,3,278,316,594,894,-17,0
29231,368,LysAci7,591,4,611,577,1188,1294,0,0
29268,378,Cecropin,105,1,108,35,143,268,56,1
29269,378,Flexiblemedian,54,2,58,199,257,215,-6,0
29270,378,EL188-CBD,351,3,363,251,614,1115,-29,0
29271,378,XccBg35,579,4,600,585,1185,2026,0,0
29308,388,Sarcotoxin,129,1,79,760,839,114,-780,1
29309,388,Flexiblemedian,54,2,61,59,120,92,-9,0
29310,388,KZ144-CBD,258,3,272,111,383,856,-19,0
29311,388,KZgp181,501,4,539,364,903,1495,0,0
29324,392,Sarcotoxin,129,1,129,284,413,126,-321,1
29325,392,Flexiblemedian,54,2,59,92,151,109,-8,0
29326,392,KZ144-CBD,258,3,267,143,410,1124,-11,0
29327,392,P2gp09,510,4,521,399,920,2138,0,0
29480,431,CecropinAD,132,1,139,223,362,129,-263,1
29481,431,Flexiblemedian,54,2,56,99,155,138,-8,0
29482,431,PVP-SE1gp146-CBD,267,3,290,147,437,810,-17,0
29483,431,BcepC6Bgp22,507,4,563,420,983,1452,0,0
29496,435,Dermaseptin,93,1,95,82,177,230,512,1
29497,435,Flexiblemedian,54,2,54,689,743,84,-549,1
29498,435,OBPgp279-CBD,396,3,423,194,617,1230,-28,0
29499,435,BcepC6Bgp22,507,4,524,589,1113,1494,0,0
29500,436,Sushi,114,1,131,153,284,118,253,1
29501,436,Flexiblemedian,54,2,55,537,592,88,-461,1
29502,436,EL188-CBD,351,3,369,131,500,643,-60,1
29503,436,BcepC6Bgp22,507,4,512,440,952,871,0,0
29540,446,Piscidin119K,78,1,83,83,166,327,365,1
29541,446,Flexiblemedian,54,2,57,531,588,116,-408,1
29542,446,KZ144-CBD,258,3,266,180,446,928,-8,0
29543,446,XccBg35,579,4,605,438,1043,2309,0,0
29588,458,CecropinAD,132,1,133,209,342,119,-186,1
29589,458,Flexiblemedian,54,2,53,156,209,203,-11,0
29590,458,EL188-CBD,351,3,361,198,559,1425,-14,0
29591,458,Phage003,423,4,433,545,978,1752,0,0
29636,470,Buforin,75,1,75,58,133,353,152,1
29637,470,Flexiblemedian,54,2,53,285,338,238,-6,0
29638,470,KZ144-CBD,258,3,269,332,601,1093,-9,0
29639,470,OBPgp276,540,4,562,592,1154,2406,0,0
29704,487,Buforin,75,1,67,82,149,123,99,1
29705,487,Flexiblemedian,54,2,49,248,297,89,12,0
29706,487,OBPgp279-CBD,396,3,408,309,717,955,-41,0
29707,487,Phage003,423,4,447,676,1123,1023,0,0
29712,489,TP4,87,1,92,196,288,97,136,1
29713,489,Flexibleshort,30,2,30,424,454,39,-429,1
29714,489,OBPgp279-CBD,396,3,320,25,345,175,-255,1
29715,489,KZ144-EAD,543,4,495,90,585,249,0,0
29744,1,CecropinAA,120,1,87,657,744,119,-682,1
29745,1,Flexiblemedian,54,2,52,62,114,166,-10,0
29746,1,OBPgp279-CBD,396,3,415,104,519,1053,-37,0
29747,1,P2gp09,510,4,528,482,1010,1506,0,0
29856,29,3IQ2,81,1,84,631,715,132,-586,1
29857,29,Flexiblemedian,54,2,43,129,172,100,5,0
29858,29,KZ144-CBD,258,3,264,177,441,918,-14,0
29859,29,BcepC6Bgp22,507,4,530,427,957,1566,0,0
29880,35,Sarcotoxin,129,1,108,862,970,136,-79,1
29881,35,Flexiblemedian,54,2,44,891,935,65,-325,1
29882,35,K11gp3.5,465,3,554,610,1164,239,-1089,1
29883,35,OBPgp276,540,4,581,75,656,278,0,0
29948,52,LL-37,123,1,94,434,528,102,-344,1
29949,52,Flexiblemedian,54,2,13,184,197,38,-5,0
29950,52,PVP-SE1gp146-CBD,267,3,285,192,477,385,-12,0
29951,52,KZ144-EAD,543,4,572,465,1037,1476,0,0
29960,55,Myxinidin,48,1,36,72,108,114,668,1
29961,55,Flexibleshort,30,2,28,776,804,51,-663,1
29962,55,KZ144-CBD,258,3,307,141,448,400,-17,0
29963,55,LysEC8,507,4,557,431,988,1637,0,0
29964,56,Piscidin,78,1,79,79,158,351,403,1
29965,56,Flexiblemedian,54,2,56,561,617,80,-438,1
29966,56,201j2-1gp229-CBD,267,3,276,179,455,960,-20,0
29967,56,BcepC6Bgp22,507,4,529,435,964,2027,0,0
29976,59,CecropinAD,132,1,121,98,219,139,-80,1
29977,59,Flexiblemedian,54,2,53,139,192,131,17,0
29978,59,EL188-CBD,351,3,378,209,587,592,-29,0
29979,59,KZgp181,501,4,476,558,1034,1392,0,0
30104,91,PAM2,78,1,81,456,537,121,-403,1
30105,91,Flexibleshort,30,2,30,134,164,119,-7,0
30106,91,PVP-SE1gp146-CBD,267,3,280,157,437,810,-28,0
30107,91,BcepC6Bgp16,423,4,438,409,847,1518,0,0
30148,102,CecropinAD,132,1,91,193,284,109,189,1
30149,102,Flexiblemedian,54,2,49,473,522,84,-382,1
30150,102,K11gp3.5,465,3,346,140,486,212,-423,1
30151,102,XccBg35,579,4,556,63,619,315,0,0
30156,104,FR2,54,1,59,37,96,180,939,1
30157,104,Flexiblemedian,54,2,12,1035,1047,51,-959,1
30158,104,KZ144-CBD,258,3,269,88,357,563,243,1
30159,104,P2gp09,510,4,538,600,1138,1002,0,0
30288,137,TP4,87,1,96,60,156,263,75,1
30289,137,Flexiblemedian,54,2,54,231,285,159,-4,0
30290,137,201j2-1gp229-CBD,267,3,288,281,569,744,-24,0
30291,137,Vpept,438,4,442,545,987,691,0,0
30436,174,Sarcotoxin,129,1,118,591,709,114,147,1
30437,174,Flexiblemedian,54,2,48,856,904,70,-748,1
30438,174,EL188-CBD,351,3,407,156,563,296,-4,0
30439,174,PVP-SE1gp146-EAD,561,4,592,559,1151,1103,0,0
30532,198,Cecropin,105,1,122,446,568,123,-463,1
30533,198,Flexiblemedian,54,2,62,105,167,204,-6,0
30534,198,EL188-CBD,351,3,367,161,528,1416,-21,0
30535,198,BcepC6Bgp22,507,4,498,507,1005,1884,0,0
30672,233,Chrysophsin,87,1,61,590,651,100,-520,1
30673,233,Flexibleshort,30,2,24,131,155,62,239,1
30674,233,KZ144-CBD,258,3,221,394,615,199,-481,1
30675,233,OBPgp279-EAD,615,4,620,134,754,277,0,0
30764,256,Pleurocidin,87,1,93,214,307,129,-201,1
30765,256,Flexiblemedian,54,2,54,106,160,217,-6,0
30766,256,201j2-1gp229-CBD,267,3,273,154,427,976,-9,0
30767,256,KZ144-EAD,543,4,457,418,875,1626,0,0
30804,266,Buforin,75,1,76,76,152,345,121,1
30805,266,Flexiblemedian,54,2,53,273,326,265,7,0
30806,266,KZ144-CBD,258,3,275,333,608,996,-15,0
30807,266,Vpept,438,4,460,593,1053,691,0,0
30864,281,Sarcotoxin,129,1,133,211,344,118,-280,1
30865,281,Flexiblemedian,54,2,55,64,119,119,6,0
30866,281,EL188-CBD,351,3,329,125,454,836,126,1
30867,281,CR8gp3.5,465,4,415,580,995,1300,0,0
30984,311,CecropinAA,120,1,124,51,175,150,-86,1
30985,311,Flexiblemedian,54,2,61,89,150,168,-7,0
30986,311,KZ144-CBD,258,3,261,143,404,1063,-16,0
30987,311,XccBg35,579,4,607,388,995,1877,0,0
31028,322,CecropinAD,132,1,132,640,772,127,-700,1
31029,322,Flexiblemedian,54,2,62,72,134,155,-8,0
31030,322,201j2-1gp229-CBD,267,3,278,126,404,936,-21,0
31031,322,Vpept,438,4,470,383,853,657,0,0
31156,354,LL-37,123,1,124,75,199,469,63,1
31157,354,Flexiblemedian,54,2,56,262,318,200,1,0
31158,354,PVP-SE1gp146-CBD,267,3,269,319,588,1128,-14,0
31159,354,OBPgp276,540,4,557,574,1131,2136,0,0
31164,356,Melittin,90,1,95,880,975,130,-851,1
31165,356,Flexiblemedian,54,2,61,124,185,195,-5,0
31166,356,K11gp3.5,465,3,485,180,665,1745,-29,0
31167,356,Vpept,438,4,432,636,1068,985,0,0
31172,358,Sushi,114,1,115,657,772,136,-641,1
31173,358,Flexibleshort,30,2,32,131,163,89,0,0
31174,358,EL188-CBD,351,3,344,163,507,1016,-34,0
31175,358,LysAci7,591,4,592,473,1065,1003,0,0
31232,373,CecropinAD,132,1,114,251,365,117,-293,1
31233,373,Flexiblemedian,54,2,57,72,129,72,-118,1
31234,373,K11gp3.5,465,3,441,11,452,184,-444,1
31235,373,BcepC6Bgp16,423,4,433,8,441,301,0,0
31444,426,CecropinAD,132,1,97,762,859,118,-681,1
31445,426,Flexibleshort,30,2,32,178,210,98,-5,0
31446,426,OBPgp279-CBD,396,3,423,205,628,609,-42,0
31447,426,BcepC6Bgp22,507,4,561,586,1147,1244,0,0
31516,444,Chrysophsin,87,1,85,45,130,337,518,1
31517,444,Flexiblemedian,54,2,62,648,710,79,-545,1
31518,444,OBPgp279-CBD,396,3,423,165,588,1053,-30,0
31519,444,BcepC6Bgp22,507,4,527,558,1085,1576,0,0
31640,475,Fowlicidin-2,105,1,111,82,193,387,125,1
31641,475,Flexiblemedian,54,2,55,318,373,213,-2,0
31642,475,201j2-1gp229-CBD,267,3,270,371,641,1089,-499,1
31643,475,BcepC6Bgp22,507,4,401,142,543,291,0,0
31688,487,CecropinAA,120,1,105,369,474,119,-207,1
31689,487,Flexiblemedian,54,2,53,267,320,69,-171,1
31690,487,EL188-CBD,351,3,394,149,543,711,-44,0
31691,487,Phage003,423,4,435,499,934,1152,0,0
31824,22,LfcinB,57,1,63,72,135,151,593,1
31825,22,Flexiblemedian,54,2,54,728,782,111,-637,1
31826,22,201j2-1gp229-CBD,267,3,277,145,422,872,-24,0
31827,22,BcepC6Bgp16,423,4,453,398,851,930,0,0
32072,84,CecropinAD,132,1,129,38,167,125,-85,1
32073,84,Flexiblemedian,54,2,56,82,138,98,1,0
32074,84,201j2-1gp229-CBD,267,3,287,139,426,646,-17,0
32075,84,OBPgp276,540,4,583,409,992,988,0,0
32108,93,CecropinAD,132,1,137,556,693,120,-575,1
32109,93,Flexiblemedian,54,2,49,118,167,245,3,0
32110,93,201j2-1gp229-CBD,267,3,267,170,437,978,-25,0
32111,93,BcepC6Bgp22,507,4,527,412,939,1864,0,0
32140,101,CecropinAD,132,1,100,860,960,131,-134,1
32141,101,Flexiblemedian,54,2,48,826,874,89,-555,1
32142,101,OBPgp279-CBD,396,3,430,319,749,285,-59,1
32143,101,BcepC6Bgp22,507,4,530,690,1220,1681,0,0
32172,109,Protegrin,66,1,64,23,87,320,451,1
32173,109,Flexiblemedian,54,2,61,538,599,66,-384,1
32174,109,K11gp3.5,465,3,500,215,715,253,-636,1
32175,109,BcepC6Bgp22,507,4,578,79,657,340,0,0
32200,116,IR2,54,1,52,61,113,234,93,1
32201,116,Flexiblemedian,54,2,63,206,269,217,-6,0
32202,116,PVP-SE1gp146-CBD,267,3,280,263,543,1146,-9,0
32203,116,CR8gp3.5,465,4,497,534,1031,1799,0,0
32256,130,Sushi,114,1,110,413,523,108,-409,1
32257,130,Flexiblemedian,54,2,58,114,172,193,-6,0
32258,130,OBPgp279-CBD,396,3,409,166,575,1594,-22,0
32259,130,Phage003,423,4,444,553,997,1655,0,0
32280,136,Sarcotoxin,129,1,127,90,217,272,536,1
32281,136,Flexiblemedian,54,2,61,753,814,102,-594,1
32282,136,KZ144-CBD,258,3,264,220,484,768,-7,0
32283,136,BcepC6Bgp16,423,4,456,477,933,1058,0,0
32312,144,CecropinAD,132,1,138,100,238,135,-88,1
32313,144,Flexiblemedian,54,2,54,150,204,203,-8,0
32314,144,KZ144-CBD,258,3,277,196,473,889,-12,0
32315,144,Phage003,423,4,459,461,920,966,0,0
32320,146,Sarcotoxin,129,1,134,75,209,503,244,1
32321,146,Flexiblemedian,54,2,55,453,508,244,-6,0
32322,146,EL188-CBD,351,3,361,502,863,1531,-707,1
32323,146,BcepC6Bgp22,507,4,564,156,720,374,0,0
32432,174,Indolicidin,51,1,53,35,88,185,54,1
32433,174,Flexiblemedian,54,2,55,142,197,173,-10,0
32434,174,KZ144-CBD,258,3,264,187,451,718,-32,0
32435,174,Vpept,438,4,453,419,872,545,0,0
32468,183,CecropinAD,132,1,124,695,819,123,-721,1
32469,183,Flexiblemedian,54,2,57,98,155,143,-10,0
32470,183,201j2-1gp229-CBD,267,3,275,145,420,696,-26,0
32471,183,P2gp09,510,4,522,394,916,1872,0,0
32472,184,LL-37,123,1,124,75,199,496,54,1
32473,184,Flexiblemedian,54,2,59,253,312,166,-7,0
32474,184,201j2-1gp229-CBD,267,3,269,305,574,1161,-18,0
32475,184,LysEC8,507,4,517,556,1073,2206,0,0
32516,195,CecropinAD,132,1,106,525,631,146,-564,1
32517,195,Flexiblemedian,54,2,56,67,123,204,-6,0
32518,195,KZ144-CBD,258,3,272,117,389,804,-29,0
32519,195,BcepC6Bgp22,507,4,528,360,888,1766,0,0
32592,214,Ranalexin,66,1,63,82,145,280,619,1
32593,214,Flexiblemedian,54,2,46,764,810,79,-643,1
32594,214,201j2-1gp229-CBD,267,3,286,167,453,1069,-16,0
32595,214,BcepC6Bgp22,507,4,519,437,956,1876,0,0
32672,234,Fowlicidin-2,105,1,107,34,141,287,530,1
32673,234,Flexiblemedian,54,2,61,671,732,96,-568,1
32674,234,PVP-SE1gp146-CBD,267,3,277,164,441,675,-36,0
32675,234,BcepC6Bgp16,423,4,444,405,849,1135,0,0
32752,254,SMAP29,99,1,96,71,167,379,645,1
32753,254,Flexiblemedian,54,2,52,812,864,68,-677,1
32754,254,EL188-CBD,351,3,359,187,546,1433,-18,0
32755,254,BcepC6Bgp16,423,4,435,528,963,1511,0,0
32772,259,CecropinAA,120,1,132,806,938,123,-856,1
32773,259,Flexiblemedian,54,2,55,82,137,168,9,0
32774,259,PVP-SE1gp146-CBD,267,3,264,146,410,554,-35,0
32775,259,P2gp09,510,4,550,375,925,888,0,0
32936,300,Ci-MAM-A24,84,1,84,81,165,376,74,1
32937,300,Flexiblemedian,54,2,57,239,296,196,-6,0
32938,300,201j2-1gp229-CBD,267,3,274,290,564,925,-28,0
32939,300,BcepC6Bgp16,423,4,435,536,971,1342,0,0
33052,329,CecropinAD,132,1,134,448,582,116,-453,1
33053,329,Flexiblemedian,54,2,54,129,183,187,-2,0
33054,329,KZ144-CBD,258,3,276,181,457,961,-13,0
33055,329,Vpept,438,4,480,444,924,701,0,0
33116,345,Sarcotoxin,129,1,137,616,753,123,-378,1
33117,345,Flexibleshort,30,2,25,375,400,62,-177,1
33118,345,K11gp3.5,465,3,507,223,730,232,-342,1
33119,345,BcepC6Bgp22,507,4,544,388,932,316,0,0
33156,355,Sushi,114,1,111,107,218,137,-159,1
33157,355,Flexiblemedian,54,2,54,59,113,67,173,1
33158,355,PVP-SE1gp146-CBD,267,3,275,286,561,401,4,0
33159,355,Vpept,438,4,464,565,1029,304,0,0
33168,358,LL-37,123,1,124,474,598,142,-482,1
33169,358,Flexiblemedian,54,2,54,116,170,208,-2,0
33170,358,KZ144-CBD,258,3,272,168,440,794,-25,0
33171,358,P2gp09,510,4,522,415,937,1301,0,0
33212,369,Cathelicidin,102,1,105,172,277,116,-208,1
33213,369,Flexibleshort,30,2,12,69,81,38,135,1
33214,369,KZ144-CBD,258,3,264,216,480,199,-468,1
33215,369,LysAci7,591,4,620,12,632,248,0,0
33220,371,CecropinAD,132,1,127,583,710,135,-598,1
33221,371,Flexiblemedian,54,2,64,112,176,115,3,0
33222,371,PVP-SE1gp146-CBD,267,3,271,179,450,910,-27,0
33223,371,XccBg35,579,4,595,423,1018,1984,0,0
33228,373,SMAP29,99,1,102,58,160,400,805,1
33229,373,Flexiblemedian,54,2,51,965,1016,78,-832,1
33230,373,K11gp3.5,465,3,480,184,664,1824,-22,0
